id,lat,lng,url
HOU8,29.538,-95.447,https://amazonhou8.iwarehouseknows-rtls.com/
MCI7,38.825,-94.909,https://amazonmci7.iwarehouseknows-rtls.com/
SNA4,34.106,-117.37,https://amazonsna4.iwarehouseknows-rtls.com/
ABE4,40.688,-75.221,https://amazonabe4.iwarehouseknows-rtls.com/
KRB7,34.199,-116.927,https://amazonkrb7.iwarehouseknows-rtls.com/
KRB4,33.532,-117.028,https://amazonkrb4.iwarehouseknows-rtls.com/
YOW1,45.383,-75.433,https://amazonyow1.iwarehouseknows-rtls.com/
HDC3,40.486,-76.29,https://amazonhdc3.iwarehouseknows-rtls.com/
MGE3,34.117,-83.572,https://amazonmge3.iwarehouseknows-rtls.com/
SAT1,29.552,-98.269,https://amazonsat1.iwarehouseknows-rtls.com/
HMW3,42.584,-87.821,https://amazonhmw3.iwarehouseknows-rtls.com/
KRB9,33.415,-111.831,https://amazonkrb9.iwarehouseknows-rtls.com/
KRB1,33.938,-117.509,https://amazonkrb1.iwarehouseknows-rtls.com/
MDT9,40.629,-76.388,https://amazonmdt9.iwarehouseknows-rtls.com/
HGA6,33.749,-84.388,https://amazonhga6.iwarehouseknows-rtls.com/
STL4,38.811,-89.956,https://amazonstl4.iwarehouseknows-rtls.com/
TEB3,39.785,-75.353,https://amazonteb3.iwarehouseknows-rtls.com/
SJC7,37.739,-121.425,https://amazonsjc7.iwarehouseknows-rtls.com/
MCE1,37.494,-120.846,https://amazonmce1.iwarehouseknows-rtls.com/
HGR5,40.05,-77.522,https://amazonhgr5.iwarehouseknows-rtls.com/
STL6,38.791,-89.956,https://amazonstl6.iwarehouseknows-rtls.com/
KRB5,39.601,-75.941,https://amazonkrb5.iwarehouseknows-rtls.com/
DFW6,32.97,-97.01,https://amazondfw6.iwarehouseknows-rtls.com/
FTW2,32.94,-97.015,https://amazonftw2.iwarehouseknows-rtls.com/
KRB6,41.76,-88.32,https://amazonkrb6.iwarehouseknows-rtls.com/
MEM8,34.87,-89.69,https://amazonmem8.iwarehouseknows-rtls.com/
CHM7,40.081,-82.808,https://amazonchm7.iwarehouseknows-rtls.com/
DET2,42.67,-83.03,https://amazondet2.iwarehouseknows-rtls.com/
MGE1,34.109,-83.762,https://amazonmge1.iwarehouseknows-rtls.com/
BFI7,47.203,-122.24,https://amazonbfi7.iwarehouseknows-rtls.com/
LGB8,34.092,-117.435,https://amazonlgb8.iwarehouseknows-rtls.com/
SLC3,40.76,-111.891,https://amazonslc3.iwarehouseknows-rtls.com/
MDW8,42.36,-87.83,https://amazonmdw8.iwarehouseknows-rtls.com/
HOU2,29.86,-95.37,https://amazonhou2.iwarehouseknows-rtls.com/
BWI4,39.254,-78.1,https://amazonbwi4.iwarehouseknows-rtls.com/
HNE1,40.518,-74.412,https://amazonhne1.iwarehouseknows-rtls.com/
LGB4,34.275,-117.362,https://amazonlgb4.iwarehouseknows-rtls.com/
BOS7,41.701,-71.155,https://amazonbos7.iwarehouseknows-rtls.com/
JAX3,30.332,-81.655,https://amazonjax3.iwarehouseknows-rtls.com/
LGB6,33.78,-117.135,https://amazonlgb6.iwarehouseknows-rtls.com/
TUS1,33.448,-112.074,https://amazontus1.iwarehouseknows-rtls.com/
SAV7,32.115,-81.247,https://amazonsav7.iwarehouseknows-rtls.com/
HOU3,29.786,-95.953,https://amazonhou3.iwarehouseknows-rtls.com/
SBD3,34.298,-117.039,https://amazonsbd3.iwarehouseknows-rtls.com/
HOU7,29.76,-95.37,https://amazonhou7.iwarehouseknows-rtls.com/
SDF8,38.277,-85.737,https://amazonsdf8.iwarehouseknows-rtls.com/
ABE8,40.118,-74.805,https://amazonabe8.iwarehouseknows-rtls.com/
MDT1,40.202,-77.2,https://amazonmdt1.iwarehouseknows-rtls.com/
PDX6,45.505,-122.675,https://amazonpdx6.iwarehouseknows-rtls.com/
CMH6,39.808,-82.954,https://amazoncmh6.iwarehouseknows-rtls.com/
DEN7,39.739,-104.99,https://amazonden7.iwarehouseknows-rtls.com/
ACY2,40.071,-74.864,https://amazonacy2.iwarehouseknows-rtls.com/
ALB1,42.652,-73.757,https://amazonalb1.iwarehouseknows-rtls.com/
RPPHQ,42.357226,-71.186525,
福州,26.0745,119.2965,
香格里拉,27.827,99.707,
深圳,22.5431,114.0579,
杭州,30.2741,120.1551,
上海,31.2304,121.4737,
湖州,30.8943,120.0868,
常州,31.8129,119.9737,
苏州,31.2989,120.5853,
宁波,29.8683,121.544,
长沙,28.2282,112.9388,
合肥,31.8206,117.2272,
南京,32.0603,118.7969,
哈尔滨,45.8038,126.5349,
郑州,34.7473,113.6249,
乌鲁木齐,43.8256,87.6168,
西安,34.3416,108.9398,
太原,37.8706,112.5489,
宝鸡,34.3619,107.2373,
呼和浩特,40.8426,111.7492,
唐山,39.6309,118.1802,
天津,39.0851,117.1994,
石家庄,38.0428,114.5149,
济南,36.6512,117.1201,
武汉,30.5928,114.3055,
荆门,31.0354,112.1992,
贵阳,26.647,106.6302,
雅安,29.9805,103.0133,
昆明,25.0406,102.7123,
嘉兴,30.7461,120.7522,
泰州,32.4558,119.9231,
常州,31.8429,119.9437,
洛阳,34.6197,112.454,
兰州,36.0611,103.8343,
乌兰巴托,47.8864,106.9057,
新加坡,1.3521,103.8198,
香港,22.3193,114.1694,
印度尼西亚,-6.2088,106.8456,
CHS1,32.981,-80.0326,https://walmartCHS1.rpplabs.com
GSP1,34.8526,-82.394,https://walmartGSP1.rpplabs.com
